Location,Location_not_on_list,Date,Area,G5,G7,G8,G10,G23,G21,G22,G24,G25,G26,G27,G30,G31,G33,G32,G34,G35,G49,G50,G59,G66,G67,G70,G79,G80,G82,G83,G95,G96,G97,G100,G91,G211,G89,G101,G200,G204,G178,G174,G175,G177,G191,G198,G151,G152,G153,G156,G158,G159,G165,G161,G125,G126,G1,G3,G4,G9,G11,G12,G13,G14,G15,G16,G17,G18,G19,G28,G29,G84,G85,G86,G87,G88,G90,G98,G99,G102,G124,G60,G62,G63,G64,G65,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G52,G54,G56,G57,G58,G68,G69,G71,G73,G92,G213,G139,G140,G142,G145,G202,G203,G205,G187,G188,G189,G179,G180,G182,G184,G186,G199,G176,G150,G154,G162,G163,G164,G160,G172,G127,G128,G130,G131
rancho_cordova,Ccmarch9/16,2016-03-09,285,4,0,0,1,0,0,0,0,1,0,0,7,0,2,0,0,1,0,1,0,0,1,0,8,1,8,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,2,10,5,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,"3_16_2016ccl2,etc.",2016-03-16,285,16,0,0,0,0,0,0,0,1,0,8,3,0,0,2,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,,2016-03-18,285,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,Ccl2_3/23/16_rph9.5_cph_8.8,2016-03-23,285,14,1,4,1,3,7,0,5,4,0,7,21,1,3,2,0,3,1,0,3,1,0,0,3,0,23,0,0,0,0,0,0,0,0,1,8,0,1,0,4,2,0,1,0,1,4,1,0,0,0,0,0,1,1,6,3,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,March_30_2016 CCL2,2016-03-30,285,10,1,0,0,4,3,0,1,5,0,5,14,1,4,4,1,6,0,3,2,0,0,0,26,0,12,0,0,0,0,0,0,2,1,2,3,2,2,0,2,8,0,0,0,1,4,2,0,0,0,1,2,1,0,5,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
rancho_cordova,CCL2 4_6_2016,2016-04-06,285,4,1,0,2,0,0,0,1,7,0,1,16,0,7,1,0,5,0,2,0,1,3,0,7,2,11,0,0,1,0,1,0,2,1,0,2,0,3,0,3,6,1,0,0,1,7,2,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,4_13_2016 CC,2016-04-13,285,16,2,0,2,0,3,0,1,7,0,13,35,0,4,1,0,2,0,0,0,0,6,0,8,2,14,0,0,1,0,0,0,0,0,1,0,0,3,0,0,6,1,0,0,1,4,1,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
rancho_cordova,Cordova c,2016-04-20,285,9,2,0,2,4,7,0,2,2,0,4,24,0,5,3,0,2,0,0,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,2,0,0,0,0,1,0,3,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1
rancho_cordova,CC 4_27_2016,2016-04-27,285,24,18,0,3,5,14,4,6,18,0,103,86,1,13,6,0,11,0,3,1,2,4,0,27,8,64,1,1,3,0,4,0,6,6,1,0,0,18,0,7,14,4,2,0,3,4,21,1,0,0,2,1,1,0,11,5,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1
rancho_cordova,"CC spillway,Ph in spillway is 8.8 5_4_2016",2016-05-04,285,5,9,1,1,4,9,0,7,7,2,105,28,0,12,3,1,6,0,0,0,0,1,0,10,0,37,0,0,0,0,0,0,0,1,0,4,0,5,0,2,6,0,0,0,1,7,7,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
