,date,code,pcs_m,quantity,location,loc_date
,2022-03-20,G30,,35,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G83,,11,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G12,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G32,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G124,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G5,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G33,,9,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G7,,4,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G101,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G137,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G5,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G25,,4,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G30,,5,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G34,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G35,,8,cordovacreek,"('cordovacreek', '2022-03-20')"
